title,artist,year,position,mood_tone,instrumentation,genre
Goodnight Irene,Gordon Jenkins & The Weavers,1950,1,"melancholic, nostalgic, reflective, sorrowful","acoustic guitar, banjo, strings, male vocal harmonies","folk ballad, traditional pop, orchestral folk"
Mona Lisa,Nat King Cole,1950,2,"romantic, mysterious, smooth, introspective","piano, lush strings, subtle percussion, male baritone vocal","traditional pop, vocal jazz, romantic ballad"
Third Man Theme,Anton Karas,1950,3,"playful, suspenseful, cinematic, whimsical","solo zither, rhythmic plucking, no vocals","instrumental soundtrack, light classical, film score"
Sam's Song,Gary & Bing Crosby,1950,4,"cheerful, lighthearted, playful, familial","brass, piano, rhythm section, dual male vocals","traditional pop, novelty, vocal duet"
Simple Melody,Gary & Bing Crosby,1950,5,"whimsical, nostalgic, humorous, contrasting","orchestral backing, woodwinds, piano, contrapuntal male vocals","novelty pop, traditional pop, counterpoint duet"
Too Young,Nat King Cole,1951,1,"tender, sentimental, romantic, innocent","orchestral strings, soft piano, male baritone vocal, light percussion","traditional pop, romantic ballad, vocal jazz"
Because of You,Tony Bennett,1951,2,"romantic, heartfelt, emotional, warm","sweeping strings, soft brass, piano, male tenor vocal","traditional pop, big band ballad, classic crooner"
How High the Moon,Les Paul & Mary Ford,1951,3,"playful, energetic, inventive, joyful","multi-tracked electric guitar, layered female vocals, fast tempo rhythm","jazz, early pop, experimental recording"
Come on-a My House,Rosemary Clooney,1951,4,"flirtatious, quirky, exotic, catchy","clavichord, hand percussion, novelty instruments, female vocal","novelty pop, exotic pop, traditional pop"
Be My Love,Mario Lanza,1951,5,"dramatic, passionate, romantic, operatic","full orchestra, rich strings, powerful male tenor vocal, classical phrasing","operatic pop, classical crossover, romantic ballad"
Blue Tango,Leroy Anderson,1952,1,"elegant, lively, flirtatious, cinematic","orchestral strings, woodwinds, tango rhythm, light percussion","instrumental pop, orchestral dance, light classical"
Wheel of Fortune,Kay Starr,1952,2,"dramatic, soulful, yearning, emotional","orchestral backing, sweeping strings, rhythm section, female vocal","traditional pop, torch song, early R&B influence"
Cry,Johnnie Ray & The Four Lads,1952,3,"emotional, vulnerable, sorrowful, expressive","minimal piano, orchestral swells, male tenor vocal, backing harmonies","pop ballad, emotional pop, traditional pop"
You Belong to Me,Jo Stafford,1952,4,"romantic, nostalgic, longing, sweet","soft strings, light percussion, female vocal, gentle orchestration","traditional pop, romantic ballad, crooner pop"
Auf Wiederseh’n Sweetheart,Vera Lynn,1952,5,"sentimental, gentle, farewell-themed, heartfelt","choral backing, soft orchestration, female vocal, slow tempo","traditional pop, wartime ballad, vocal ensemble pop"
The Song from Moulin Rouge,Percy Faith,1953,1,"romantic, cinematic, wistful, tender","orchestral strings, soft brass, light percussion, instrumental focus","instrumental pop, film score, orchestral ballad"
Vaya con Dios,Les Paul & Mary Ford,1953,2,"gentle, bittersweet, spiritual, nostalgic","acoustic guitar, light strings, vocal harmony, slow tempo","traditional pop, Latin-influenced ballad, vocal duet"
(How Much Is) That Doggie in the Window,Patti Page,1953,3,"playful, lighthearted, childlike, cheerful","simple rhythm section, woodwinds, female vocal, novelty elements","novelty pop, traditional pop, children’s song"
I'm Walking Behind You,Eddie Fisher,1953,4,"melancholic, emotional, contemplative, sorrowful","orchestral strings, piano, male vocal, slow tempo arrangement","traditional pop, sentimental ballad, crooner style"
"You, You, You",Ames Brothers,1953,5,"romantic, upbeat, warm, harmonious","tight vocal harmonies, light swing rhythm, piano, soft strings","traditional pop, vocal group harmony, early doo-wop influence"
Little Things Mean a Lot,Kitty Kallen,1954,1,"romantic, sincere, soft, sentimental","orchestral strings, piano, gentle rhythm section, female vocal","traditional pop, romantic ballad, orchestral vocal"
Wanted,Perry Como,1954,2,"pleading, heartfelt, warm, melancholic","orchestral arrangement, slow tempo, male baritone vocal, soft brass","traditional pop, crooner ballad, romantic vocal"
Hey There,Rosemary Clooney,1954,3,"introspective, emotional, expressive, conversational","piano, light percussion, lush strings, female vocal","traditional pop, theatrical ballad, vocal jazz"
Sh-Boom,The Crew-Cuts,1954,4,"joyful, upbeat, playful, romantic","vocal harmonies, doo-wop backing, rhythm guitar, saxophone","doo-wop, early rock and roll, R&B pop"
Make Love to Me,Jo Stafford,1954,5,"flirtatious, affectionate, upbeat, jazzy","swing band instrumentation, horns, piano, female vocal","swing pop, jazz-influenced traditional pop, big band vocal"
Cherry Pink and Apple Blossom White,Perez Prado,1955,1,"romantic, exotic, playful, lively","trumpet lead, Latin rhythm section, brass, percussion, instrumental focus","mambo, Latin jazz, instrumental pop"
Rock Around the Clock,Bill Haley & His Comets,1955,2,"energetic, rebellious, danceable, youthful","electric guitar, upright bass, drums, male vocal, saxophone","rock and roll, rockabilly, early rock"
The Yellow Rose of Texas,Mitch Miller,1955,3,"patriotic, marching, bright, cheerful","military-style snare drums, brass, choral male vocal, marching band elements","marching band pop, folk revival, patriotic pop"
Autumn Leaves,Roger Williams,1955,4,"melancholic, reflective, romantic, elegant","solo piano, strings, orchestral swells, instrumental focus","instrumental pop, easy listening, classical crossover"
Unchained Melody,Les Baxter,1955,5,"yearning, emotional, passionate, timeless","orchestral backing, sweeping strings, wordless female vocal harmony","romantic ballad, traditional pop, film soundtrack"
Heartbreak Hotel,Elvis Presley,1956,1,"melancholic, lonely, bluesy","electric guitar, acoustic guitar, upright bass, piano, drums","blues, rock and roll, rockabilly"
Don't Be Cruel,Elvis Presley,1956,2,"upbeat, playful, romantic","electric guitar, drums, backing vocals","rock and roll, pop"
Lisbon Antigua,Nelson Riddle,1956,3,"nostalgic, exotic, elegant","piano, strings, brass, wordless male chorus","traditional pop, easy listening, orchestral"
My Prayer,The Platters,1956,4,"romantic, heartfelt, sentimental","tenor lead vocals, backing harmonies, strings","doo-wop, R&B, traditional pop"
The Wayward Wind,Gogi Grant,1956,5,"wistful, adventurous, longing","female vocals, orchestral strings, acoustic guitar","country, pop, traditional pop"
